,task_form,succes_human,succes_mnli_00,succes_mnli_03,succes_mnli_05,succes_mnli_10,succes_mnli_20,succes_mnli_30,succes_mnli_40,succes_mnli_50,succes_mnli_60,succes_mnli_70,succes_mnli_80,succes_mnli_90,succes_mnli_max,succes_simple_0.9999965,succes_simple_0.9999968,succes_simple_0.9999972,succes_simple_0.9999974,succes_simple_0.999996,succes_simple_0.999997
22,EE3,0.6530612244897959,0.0,0.0,0.0,0.0,0.0,0.0510204081632653,0.0918367346938775,0.2040816326530612,0.3673469387755102,0.4591836734693877,0.6020408163265306,0.8163265306122449,0.1428571428571428,0.0204081632653061,0.1122448979591836,0.4897959183673469,0.9489795918367347,0.0,0.2244897959183673
62,OO3,0.6138613861386139,0.0,0.0,0.0,0.0,0.0099009900990099,0.0297029702970297,0.0396039603960396,0.1188118811881188,0.2277227722772277,0.3267326732673267,0.4851485148514851,0.6534653465346535,0.0693069306930693,0.0,0.0198019801980198,0.3564356435643564,0.8514851485148515,0.0,0.0594059405940594
23,EE4,0.6132075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188679245283018,0.0754716981132075,0.1792452830188679,0.0,0.0,0.0754716981132075,0.3773584905660377,0.9150943396226416,0.0,0.1132075471698113
63,OO4,0.6060606060606061,0.0,0.0,0.0,0.0303030303030303,0.2424242424242424,0.4444444444444444,0.6161616161616161,0.7171717171717171,0.797979797979798,0.8484848484848485,0.9292929292929292,0.9696969696969696,0.6666666666666666,0.0,0.0101010101010101,0.2626262626262626,0.7878787878787878,0.0,0.0202020202020202
42,II3,0.5321100917431193,0.0,0.0091743119266055,0.018348623853211,0.1651376146788991,0.4403669724770642,0.6330275229357798,0.7339449541284404,0.8165137614678899,0.8623853211009175,0.8990825688073395,0.9174311926605504,0.9908256880733946,0.7614678899082569,0.0,0.018348623853211,0.3486238532110092,0.8807339449541285,0.0,0.036697247706422
43,II4,0.5102040816326531,0.0,0.010204081632653,0.1224489795918367,0.2653061224489796,0.3775510204081632,0.4489795918367347,0.5612244897959183,0.6020408163265306,0.6428571428571429,0.6836734693877551,0.7448979591836735,0.8367346938775511,0.5918367346938775,0.0,0.010204081632653,0.3265306122448979,0.8571428571428571,0.0,0.0510204081632653
46,IO3,0.4653465346534653,0.0,0.0,0.0,0.0099009900990099,0.0594059405940594,0.198019801980198,0.2871287128712871,0.4752475247524752,0.6237623762376238,0.7029702970297029,0.8217821782178217,0.9504950495049505,0.396039603960396,0.0,0.0495049504950495,0.4158415841584158,0.9306930693069309,0.0,0.1287128712871287
28,EO1,0.4485981308411215,0.0,0.0,0.0,0.0,0.0093457943925233,0.0186915887850467,0.0560747663551401,0.1401869158878504,0.2242990654205607,0.4672897196261682,0.6915887850467289,0.8691588785046729,0.0560747663551401,0.0,0.02803738317757,0.3457943925233644,0.8691588785046729,0.0,0.0467289719626168
20,EE1,0.4476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0095238095238095,0.019047619047619,0.0380952380952381,0.0952380952380952,0.2095238095238095,0.4476190476190476,0.0095238095238095,0.0,0.0476190476190476,0.3523809523809524,0.923809523809524,0.0,0.1333333333333333
2,AA3,0.4242424242424242,0.0,0.1111111111111111,0.1919191919191919,0.3131313131313131,0.5555555555555556,0.6060606060606061,0.6767676767676768,0.7171717171717171,0.7575757575757576,0.8181818181818182,0.8585858585858586,0.898989898989899,0.7070707070707071,0.0303030303030303,0.1616161616161616,0.5656565656565656,0.9393939393939394,0.0,0.2727272727272727
30,EO3,0.411214953271028,0.0,0.0,0.0,0.0,0.0,0.0,0.0093457943925233,0.0186915887850467,0.0467289719626168,0.1121495327102803,0.2616822429906542,0.4672897196261682,0.0093457943925233,0.0,0.0654205607476635,0.4672897196261682,0.9252336448598132,0.0,0.1682242990654205
53,OE2,0.3980582524271844,0.0,0.0,0.0,0.0,0.0,0.029126213592233,0.0970873786407767,0.2815533980582524,0.4854368932038835,0.7087378640776699,0.8446601941747572,0.9611650485436892,0.1359223300970873,0.0,0.0097087378640776,0.3398058252427184,0.8349514563106796,0.0,0.029126213592233
61,OO2,0.3962264150943396,0.0,0.0,0.0,0.0094339622641509,0.0943396226415094,0.2358490566037736,0.3867924528301887,0.5660377358490566,0.7547169811320755,0.839622641509434,0.9245283018867924,1.0,0.4811320754716981,0.0,0.0094339622641509,0.3867924528301887,0.8962264150943396,0.0,0.0471698113207547
55,OE4,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.0192307692307692,0.1153846153846153,0.2307692307692307,0.3269230769230769,0.4615384615384615,0.0096153846153846,0.0,0.0,0.2884615384615384,0.875,0.0,0.0384615384615384
47,IO4,0.3763440860215054,0.0,0.0,0.0,0.0,0.010752688172043,0.032258064516129,0.1612903225806451,0.2580645161290322,0.3440860215053763,0.4516129032258064,0.5268817204301075,0.6021505376344086,0.2043010752688172,0.0,0.0,0.3548387096774194,0.8172043010752689,0.0,0.0
21,EE2,0.375,0.0,0.0,0.0,0.0,0.0,0.048076923076923,0.1442307692307692,0.2692307692307692,0.4903846153846153,0.625,0.7788461538461539,0.9230769230769232,0.173076923076923,0.0288461538461538,0.1153846153846153,0.4423076923076923,0.9326923076923076,0.0,0.2211538461538461
31,EO4,0.3714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,0.0952380952380952,0.219047619047619,0.2952380952380952,0.5142857142857142,0.7142857142857143,0.0571428571428571,0.0,0.019047619047619,0.3333333333333333,0.8761904761904762,0.0,0.0571428571428571
10,AI3,0.3457943925233644,0.0,0.0,0.0,0.02803738317757,0.1495327102803738,0.2897196261682243,0.4485981308411215,0.6074766355140186,0.7663551401869159,0.8598130841121495,0.9345794392523364,0.9813084112149532,0.4859813084112149,0.0093457943925233,0.102803738317757,0.4672897196261682,0.9345794392523364,0.0,0.2336448598130841
40,II1,0.3428571428571428,0.0,0.0,0.019047619047619,0.1333333333333333,0.3619047619047619,0.5238095238095238,0.580952380952381,0.6761904761904762,0.7714285714285715,0.8095238095238095,0.8380952380952381,0.923809523809524,0.6285714285714286,0.0,0.0380952380952381,0.3714285714285714,0.8666666666666667,0.0,0.0761904761904762
60,OO1,0.33,0.0,0.0,0.0,0.0,0.01,0.06,0.2,0.33,0.45,0.61,0.78,0.95,0.26,0.0,0.01,0.32,0.84,0.0,0.04
45,IO2,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.048076923076923,0.1346153846153846,0.2115384615384615,0.3076923076923077,0.4807692307692308,0.7019230769230769,0.1057692307692307,0.0,0.0288461538461538,0.3076923076923077,0.903846153846154,0.0,0.0673076923076923
29,EO2,0.3267326732673267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396039603960396,0.1287128712871287,0.0,0.0,0.0297029702970297,0.4257425742574257,0.9207920792079208,0.0,0.0891089108910891
41,II2,0.3131313131313131,0.0,0.0,0.0202020202020202,0.1616161616161616,0.4747474747474747,0.696969696969697,0.8282828282828283,0.9090909090909092,0.9494949494949496,0.9797979797979798,1.0,1.0,0.8686868686868687,0.0,0.0101010101010101,0.3131313131313131,0.8585858585858586,0.0,0.0303030303030303
54,OE3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.16,0.32,0.43,0.68,0.04,0.0,0.01,0.32,0.88,0.0,0.04
52,OE1,0.3018867924528302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283018867924528,0.1415094339622641,0.2735849056603773,0.0,0.0,0.0,0.3018867924528302,0.7924528301886793,0.0,0.0283018867924528
44,IO1,0.2647058823529412,0.0,0.0,0.0,0.0,0.0098039215686274,0.0196078431372549,0.0588235294117647,0.196078431372549,0.3333333333333333,0.4803921568627451,0.6176470588235294,0.7549019607843137,0.1078431372549019,0.0,0.0098039215686274,0.3235294117647059,0.8137254901960784,0.0,0.0490196078431372
34,IA3,0.2058823529411764,0.0,0.0196078431372549,0.0392156862745098,0.1568627450980392,0.4019607843137255,0.5392156862745098,0.6764705882352942,0.7647058823529411,0.8627450980392157,0.9215686274509804,0.931372549019608,0.9803921568627452,0.6666666666666666,0.0,0.0294117647058823,0.4607843137254901,0.9215686274509804,0.0,0.1470588235294117
13,AO2,0.1792452830188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188679245283018,0.0188679245283018,0.0471698113207547,0.1509433962264151,0.3867924528301887,0.0188679245283018,0.0,0.0377358490566037,0.4433962264150943,0.9433962264150944,0.0,0.1698113207547169
