type,succes_human,succes_mnli_00,succes_mnli_03,succes_mnli_05,succes_mnli_10,succes_mnli_20,succes_mnli_30,succes_mnli_40,succes_mnli_50,succes_mnli_60,succes_mnli_70,succes_mnli_80,succes_mnli_90,succes_mnli_max,succes_simple_0.9999965,succes_simple_0.9999968,succes_simple_0.9999972,succes_simple_0.9999974,succes_simple_0.999996,succes_simple_0.999997
mixe,0.2537982335439563,0.0,0.0010893246187363833,0.0021786492374727667,0.018819314790709862,0.08103866166855071,0.1393303392493804,0.18706334097121516,0.2555561720890893,0.3232723194617807,0.41076079277203686,0.5136394731913867,0.6657011011693889,0.20317302198755205,0.0005192107995846278,0.030066750371281196,0.3672631647856948,0.8892450224931598,0.0,0.09218155944725322
relative,0.31736066353804854,0.0,0.0012111495974536563,0.011252952668417932,0.05089043131362966,0.15315681551759366,0.25670084166162865,0.3663250313732231,0.4751259909285664,0.5819142419343657,0.6761934084132727,0.7816392977326883,0.8779617773077458,0.42109584947692164,0.0,0.015228293553812874,0.32882435863985615,0.8489013257927991,0.0,0.05024588820977425
universal,0.5026260487042158,0.0,0.02222222222222222,0.03838383838383838,0.06262626262626261,0.11111111111111112,0.14103158746015887,0.1844717980432266,0.2419063476206333,0.3306805099662243,0.4032943022835206,0.504893667279112,0.6530515366633965,0.20650571650571647,0.01591146948289804,0.10246728413844312,0.445499923855719,0.9319939404710296,0.0,0.19298235906052613
