Syllogism,Human,Bert_simple,Bert_Chelma,Bart_MNLI
AA1,0.8057553956834532,0.8129496402877698,0.5179856115107914,0.8561151079136691
AA2,0.6834532374100719,0.43884892086330934,0.18705035971223022,0.6402877697841727
AA4,0.2805755395683453,0.16546762589928057,0.0,0.014388489208633094
AE1,0.8848920863309353,0.05755395683453238,0.07194244604316546,1.0
AE2,0.09352517985611511,0.007194244604316547,0.0,0.0
AE3,0.8345323741007195,0.050359712230215826,0.08633093525179857,1.0
AE4,0.17985611510791366,0.014388489208633094,0.0,0.0
AI2,0.8057553956834532,0.7410071942446043,0.1510791366906475,0.23741007194244604
AI4,0.8057553956834532,0.7194244604316546,0.14388489208633093,0.6834532374100719
AO3,0.35251798561151076,0.12949640287769784,0.07913669064748201,0.9136690647482014
AO4,0.5899280575539568,0.302158273381295,0.17266187050359713,0.8273381294964028
EA1,0.04316546762589928,0.007194244604316547,0.0,0.007194244604316547
EA2,0.8633093525179856,0.02158273381294964,0.050359712230215826,0.9712230215827338
EA3,0.8633093525179856,0.02877697841726619,0.02158273381294964,0.9496402877697842
EA4,0.1079136690647482,0.014388489208633094,0.0,0.06474820143884892
EI1,0.2158273381294964,0.007194244604316547,0.007194244604316547,0.5035971223021583
EI2,0.39568345323741005,0.02877697841726619,0.0,0.31654676258992803
EI3,0.302158273381295,0.014388489208633094,0.007194244604316547,0.18705035971223022
EI4,0.26618705035971224,0.014388489208633094,0.007194244604316547,0.8561151079136691
IA1,0.7338129496402878,0.6618705035971223,0.1223021582733813,0.6690647482014388
IA4,0.4244604316546763,0.6762589928057554,0.15827338129496402,0.4028776978417266
IE1,0.34532374100719426,0.014388489208633094,0.014388489208633094,0.12949640287769784
IE2,0.12949640287769784,0.02158273381294964,0.007194244604316547,0.0
IE3,0.302158273381295,0.050359712230215826,0.02158273381294964,0.03597122302158273
IE4,0.26618705035971224,0.02158273381294964,0.02158273381294964,0.007194244604316547
